Mount,Panel,Top/Shape,Material,Type,Size,Handing,Finish Texture,Panel Style,Hinge Finish,Casing Finish,Casing Profile,,Stock Item Number,Lowes Stock Item Number,New Number
Pre-hung,Panel,Craftsman,Molded,3,36,LH,SM,FLTNK,,,,,5675179,1101927,6035924
Pre-hung,Panel,Craftsman,Molded,3,24,RH,SM,PFJ366NK,,,,,5208938,1101983,
Pre-hung,Panel,Craftsman,Molded,3,24,LH,SM,PFJ366NK,,,,,5208939,1101984,
Pre-hung,Panel,Craftsman,Molded,3,28,RH,SM,PFJ366NK,,,,,5208940,1101985,
Pre-hung,Panel,Craftsman,Molded,3,28,LH,SM,PFJ366NK,,,,,5208941,1101986,
Pre-hung,Panel,Craftsman,Molded,3,30,RH,SM,PFJ366NK,,,,,5208942,1101987,
Pre-hung,Panel,Craftsman,Molded,3,30,LH,SM,PFJ366NK,,,,,5208943,1101988,
Pre-hung,Panel,Craftsman,Molded,3,32,RH,SM,PFJ366NK,,,,,5208944,1101989,6035975
Pre-hung,Panel,Craftsman,Molded,3,32,LH,SM,PFJ366NK,,,,,5208945,1101990,
Pre-hung,Panel,Craftsman,Molded,3,36,RH,SM,PFJ366NK,,,,,5208946,1101991,
Pre-hung,Panel,Craftsman,Molded,3,36,LH,SM,PFJ366NK,,,,,5208947,1101992,
Pre-hung,Panel,,Molded,5,24,LH,,PFJ/356,NK,,,,957420,1101839,
Pre-hung,Panel,,Molded,5,24,RH,,PFJ/356,NK,,,,957421,1101840,6035860
Pre-hung,Panel,,Molded,5,28,LH,,PFJ/356,NK,,,,5405747,1168770,
Pre-hung,Panel,,Molded,5,28,RH,,PFJ/356,NK,,,,5405739,1169405,
Pre-hung,Panel,,Molded,5,30,LH,,PFJ/356,NK,,,,957422,1101841,6035862
Pre-hung,Panel,,Molded,5,30,RH,,PFJ/356,NK,,,,957423,1101842,6035864
Pre-hung,Panel,,Molded,5,32,LH,,PFJ/356,NK,,,,957424,1101843,6035866
Pre-hung,Panel,,Molded,5,32,RH,,PFJ/356,NK,,,,957425,1101844,6035868
